hero,avg_win_rate,avg_pick_rate,avg_ban_rate,avg_tier_num,win_rate_std,seasons_tracked,max_win_rate,min_win_rate,teamup_count,cluster,cluster_label,pca_x,pca_y,dev_watch
Spider Man,50.488458333333334,14.037875000000001,5.865041666666667,3.9125,2.345206211399936,240,54.24,44.65,0.0,0,Consistent Carry,0.912421360176054,-0.14737619816529318,🟡 Rework Signal — popular but underperforming
Squirrel Girl,45.61669456066945,9.877782426778243,1.4514644351464434,2.3263598326359833,4.563231241598221,239,64.29,40.54,0.0,3,Average Joe,-2.2768379794820115,-0.06876796421895519,🟡 Rework Signal — popular but underperforming | ⚪ Volatile — win rate swings heavily by season
Star Lord,49.040625,10.624583333333334,0.5000416666666667,3.4375,2.631906738572615,240,54.59,40.91,0.0,3,Average Joe,-0.44468123289417155,-0.004990075575040407,🟡 Rework Signal — popular but underperforming
Storm,53.62794979079498,5.330334728033473,0.8623430962343096,4.184100418410042,2.226420890276979,239,57.22,48.39,0.0,1,Meta Tyrant,1.0564959120110728,-0.9576509275163904,✅ Stable — no intervention needed
The Punisher,46.46995833333333,13.321666666666667,1.291625,2.7291666666666665,2.5968140277060563,240,53.52,28.57,0.0,3,Average Joe,-1.415576305917234,0.5803751068945768,🟡 Rework Signal — popular but underperforming
The Thing,47.708800000000004,12.38675,0.6686,2.95,4.423671314586732,200,52.16,0.0,0.0,3,Average Joe,-1.3239517553742577,-0.15435422946351265,🟡 Rework Signal — popular but underperforming | ⚪ Volatile — win rate swings heavily by season
Thor,53.716276150627614,14.135899581589959,0.17740585774058576,4.096234309623431,10.299619391224741,239,100.0,46.59,0.0,1,Meta Tyrant,0.006307447388872247,-2.5413894413125546,⚪ Volatile — win rate swings heavily by season
Ultron,50.4825625,7.129125,0.662,3.64375,8.51324467531209,160,100.0,30.0,0.0,1,Meta Tyrant,-0.8754849571248051,-2.118175500090443,⚪ Volatile — win rate swings heavily by season
Venom,49.360083333333336,11.593625,1.1617083333333333,3.3916666666666666,4.108209659195248,240,71.43,44.82,0.0,3,Average Joe,-0.5423994220728968,-0.408054427175375,🟡 Rework Signal — popular but underperforming | ⚪ Volatile — win rate swings heavily by season
Winter Soldier,47.693666666666665,18.415374999999997,4.298541666666666,3.1,2.7956177402341527,240,70.59,43.97,0.0,3,Average Joe,-0.45877084209797364,0.5680250368940746,🟡 Rework Signal — popular but underperforming
Wolverine,49.26016666666667,8.889833333333334,8.514833333333334,3.4291666666666667,2.545156687956217,240,57.14,44.03,0.0,0,Consistent Carry,0.3646314170998375,-0.47670616715396447,🟡 Rework Signal — popular but underperforming
